24.09.2026                                                                                                                                                                                                                             Dynamic List Display                                                                                                                                                                                                                                                                                       1


	MANDT	PYORD	BUKRS	BELNR	GJAHR	BUZEI	ZSTATUS	ZDELIND	LAUFD	LAUFI	RZAWE	WAERS	ZBUKR	HBKID	HKTID	         RWBTR	       ZRWBTR	SHKZG	KIDNO	SECCO	EBELN	EBELP	LIFNR	KUNNR	VALUT	BNKKO	CURRA	         RBETR	SRTGB	USNAM	BSTAT	ZREJ_REASON	ZREJ_DATE	ZUTRNO	ZPAYDOCNR	ANNEE	ZPAYDOCNR1	ZANNEE	ZDOCNRLIAB	ZFISC_LIAB	BKTXT	ZUONR	ZPAYDATE	ZPAYDOCNR2	ZANNEE1	ZPAYDOCNR3	ZANNEE2	ACC_CREATED_BY	ACC_CREAT_DATE	ACC_CREAT_TIME	ACC_CHANGED_BY	ACC_CHANGE_DATE	ACC_CHANGE_TIME

	500	0000833186	OVL	1026000190	 2026	  002	001		13.09.2026	OVL	P	INR	OVL	HB_01	HB001	-3,882.00	    3,882.00	H		DLI		00000		0700044884	13.09.2026	0000093204	INR	-3,882.00	JV	123883						 0000		  0000		      0000					   0000		   0000	SAP_FI	13.09.2026	10:11:59			00:00:00
	500	0000833187	OVL	7126000041	 2026	  001	001		13.09.2026	OVL	8	INR	OVL	HB_01	HB001	-2,194,500.00	2,194,500.00	H	151395128000023	DLI		00000	0000151395		13.09.2026	0000093204	INR	-2,194,500.00	JV	94161						 0000		  0000		      0000					   0000		   0000	SAP_FI	13.09.2026	10:11:59			00:00:00
	500	0000833188	OVL	7126000039	 2026	  001	001		13.09.2026	OVL	8	INR	OVL	HB_01	HB001	-177,858.60	  177,858.60	H	894344128000007	DLI		00000	0000894344		13.09.2026	0000093204	INR	-177,858.60	JV	123883						 0000		  0000		      0000					   0000		   0000	SAP_FI	13.09.2026	10:11:59			00:00:00
	500	0000833189	OVL	8826000460	 2026	  006	001		13.09.2026	OVL	8	INR	OVL	HB_01	HB001	-63,292.00	   63,292.00	H				00000	0007073502		13.09.2026	0000093204	INR	-63,292.00	JV	OVLPOUSER						 0000		  0000		      0000					   0000		   0000	SAP_FI	13.09.2026	10:11:59			00:00:00
	500	0000833190	OVL	8826000460	 2026	  007	001		13.09.2026	OVL	9	INR	OVL	HB_01	HB001	-14,000.00	   14,000.00	H				00000	0007078087		13.09.2026	0000093204	INR	-14,000.00	JV	OVLPOUSER						 0000		  0000		      0000					   0000		   0000	SAP_FI	13.09.2026	10:11:59			00:00:00
	500	0000833191	OVL	1026000190	 2026	  002	001		13.09.2026	OVL1	P	INR	OVL	HB_01	HB001	-3,882.00	    3,882.00	H		DLI		00000		0700044884	13.09.2026	0000093204	INR	-3,882.00	JV	123883						 0000		  0000		      0000					   0000		   0000	SAP_FI	13.09.2026	13:00:15			00:00:00
	500	0000833192	OVL	7126000041	 2026	  001	001		13.09.2026	OVL1	8	INR	OVL	HB_01	HB001	-2,194,500.00	2,194,500.00	H	151395128000023	DLI		00000	0000151395		13.09.2026	0000093204	INR	-2,194,500.00	JV	94161						 0000		  0000		      0000					   0000		   0000	SAP_FI	13.09.2026	13:00:15			00:00:00
	500	0000833193	OVL	7126000039	 2026	  001	001		13.09.2026	OVL1	8	INR	OVL	HB_01	HB001	-177,858.60	  177,858.60	H	894344128000007	DLI		00000	0000894344		13.09.2026	0000093204	INR	-177,858.60	JV	123883						 0000		  0000		      0000					   0000		   0000	SAP_FI	13.09.2026	13:00:15			00:00:00
	500	0000833194	OVL	8826000460	 2026	  006	001		13.09.2026	OVL1	8	INR	OVL	HB_01	HB001	-63,292.00	   63,292.00	H				00000	0007073502		13.09.2026	0000093204	INR	-63,292.00	JV	OVLPOUSER						 0000		  0000		      0000					   0000		   0000	SAP_FI	13.09.2026	13:00:15			00:00:00
	500	0000833195	OVL	8826000460	 2026	  007	001		13.09.2026	OVL1	9	INR	OVL	HB_01	HB001	-14,000.00	   14,000.00	H				00000	0007078087		13.09.2026	0000093204	INR	-14,000.00	JV	OVLPOUSER						 0000		  0000		      0000					   0000		   0000	SAP_FI	13.09.2026	13:00:15			00:00:00
	500	0000833196	OVL	1026000190	 2026	  002	001		13.09.2026	OVL2	P	INR	OVL	HB_01	HB001	-3,882.00	    3,882.00	H		DLI		00000		0700044884	13.09.2026	0000093204	INR	-3,882.00	JV	123883						 0000		  0000		      0000					   0000		   0000	SAP_FI	13.09.2026	13:15:53			00:00:00
	500	0000833197	OVL	7126000041	 2026	  001	001		13.09.2026	OVL2	8	INR	OVL	HB_01	HB001	-2,194,500.00	2,194,500.00	H	151395128000023	DLI		00000	0000151395		13.09.2026	0000093204	INR	-2,194,500.00	JV	94161						 0000		  0000		      0000					   0000		   0000	SAP_FI	13.09.2026	13:15:53			00:00:00
	500	0000833198	OVL	7126000039	 2026	  001	001		13.09.2026	OVL2	8	INR	OVL	HB_01	HB001	-177,858.60	  177,858.60	H	894344128000007	DLI		00000	0000894344		13.09.2026	0000093204	INR	-177,858.60	JV	123883						 0000		  0000		      0000					   0000		   0000	SAP_FI	13.09.2026	13:15:53			00:00:00
	500	0000833199	OVL	8826000460	 2026	  006	001		13.09.2026	OVL2	8	INR	OVL	HB_01	HB001	-63,292.00	   63,292.00	H				00000	0007073502		13.09.2026	0000093204	INR	-63,292.00	JV	OVLPOUSER						 0000		  0000		      0000					   0000		   0000	SAP_FI	13.09.2026	13:15:53			00:00:00
	500	0000833200	OVL	8826000460	 2026	  007	001		13.09.2026	OVL2	9	INR	OVL	HB_01	HB001	-14,000.00	   14,000.00	H				00000	0007078087		13.09.2026	0000093204	INR	-14,000.00	JV	OVLPOUSER						 0000		  0000		      0000					   0000		   0000	SAP_FI	13.09.2026	13:15:53			00:00:00
	500	0000833201	OVL	1026000190	 2026	  002	001		13.09.2026	OVL3	P	INR	OVL	HB_01	HB001	-3,882.00	    3,882.00	H		DLI		00000		0700044884	13.09.2026	0000093204	INR	-3,882.00	JV	123883						 0000		  0000		      0000					   0000		   0000	SAP_FI	13.09.2026	13:29:59			00:00:00
